,Unnamed: 0,fasta,scaffold,gene_position,start_position,end_position,strandedness,rank,ko_id,kegg_hit,peptidase_id,peptidase_family,peptidase_hit,peptidase_RBH,peptidase_identity,peptidase_bitScore,peptidase_eVal,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,heme_regulatory_motif_count
15634,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2028527_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2028527,1,3,215,-1,D,,,,,,,,,,Dihydrodipicolinate synthetase family [PF00701.25],,,,,0
15635,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2028527_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2028527,2,363,1151,1,D,,,,,,,,,,Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28],,,,,0
15636,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2028527_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2028527,3,1170,2396,-1,C,K00529,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],,,,,,,,Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; Reductase C-terminal [PF14759.9]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.30],,,,,0
15637,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2028527_4,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2028527,4,2487,3578,-1,D,,,,,,,,,,"Sigma-54 interaction domain [PF00158.29]; Sigma-54 interaction domain [PF14532.9]; AAA domain (dynein-related subfamily) [PF07728.17]; Bacterial regulatory protein, Fis family [PF02954.22]",,,,,0
15656,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,1,89,388,-1,E,,,,,,,,,,,,,,,0
15657,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,2,673,1863,1,C,K07454,putative restriction endonuclease,,,,,,,,Domain of unknown function (DUF3427) [PF11907.11]; HNH endonuclease [PF13391.9],,,,,0
15658,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,3,1855,2190,-1,E,,,,,,,,,,,,,,,0
15659,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_4,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,4,2454,3236,-1,D,,,,,,,,,,Plasmid recombination enzyme [PF01076.22],,,,,0
15660,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_5,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,5,3268,3444,1,E,,,,,,,,,,,,,,,0
15661,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_6,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,6,3402,4385,-1,D,,,,,,,,,,Phage integrase family [PF00589.25],,,,,0
15662,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2094206_7,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2094206,7,4460,4708,-1,C,K03637,cyclic pyranopterin monophosphate synthase [EC:4.6.1.17],,,,,,,,MoaC family [PF01967.24],,,,,0
15822,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2453520_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2453520,1,3,743,-1,C,K02294,beta-carotene hydroxylase [EC:1.14.13.-],,,,,,,,Fatty acid desaturase [PF00487.27],,,,,0
15823,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2453520_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2453520,2,933,1784,1,D,,,,,,,,,,Bacterial transcriptional regulator [PF01614.21],,,,,0
15824,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2453520_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2453520,3,1913,3091,1,D,,,,,,,,,,Major Facilitator Superfamily [PF07690.19]; Fungal trichothecene efflux pump (TRI12) [PF06609.16]; Sugar (and other) transporter [PF00083.27],,,,,0
15825,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2453520_4,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2453520,4,3106,4272,-1,D,,,,,,,,,,CoA-transferase family III [PF02515.20],,,,,0
15826,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_2453520_5,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_2453520,5,4277,4741,-1,C,K02510,4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52],,,,,,,,HpcH/HpaI aldolase/citrate lyase family [PF03328.17],,,,,0
17574,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_83602_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_83602,1,2,1012,1,D,,,,,,,,,,Phage integrase family [PF00589.25],,,,,0
17575,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_83602_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_83602,2,1009,1950,1,D,,,,,,,,,,Plasmid recombination enzyme [PF01076.22],,,,,0
17576,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_83602_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_83602,3,2160,2519,-1,E,,,,,,,,,,,,,,,0
17711,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_928186_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_928186,1,144,698,-1,C,K14749,ethylbenzene dioxygenase subunit beta [EC:1.14.12.-],,,,,,,,Ring hydroxylating beta subunit [PF00866.21],,,,,0
17712,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_928186_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_928186,2,707,2074,-1,C,K14748,ethylbenzene dioxygenase subunit alpha [EC:1.14.12.-],,,,,,,,Ring hydroxylating alpha subunit (catalytic domain) [PF00848.22]; Rieske [2Fe-2S] domain [PF00355.29],,,,,0
17713,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_928186_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_928186,3,2099,2626,-1,C,K14749,ethylbenzene dioxygenase subunit beta [EC:1.14.12.-],,,,,,,,Ring hydroxylating beta subunit [PF00866.21],,,,,0
17714,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_928186_4,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_928186,4,2619,3971,-1,C,K14748,ethylbenzene dioxygenase subunit alpha [EC:1.14.12.-],,,,,,,,Ring hydroxylating alpha subunit (catalytic domain) [PF00848.22]; Rieske [2Fe-2S] domain [PF00355.29],,,,,0
17715,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_928186_5,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_928186,5,4181,4759,1,D,,,,,,,,,,Activator of aromatic catabolism [PF06505.14]; V4R domain [PF02830.21],,,,,0
17795,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_1,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,1,3,653,1,D,,,,,,,,,,Phage integrase family [PF00589.25],,,,,0
17796,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_2,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,2,650,1522,1,E,,,,,,,,,,,,,,,0
17797,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_3,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,3,1522,2016,1,E,,,,,,,,,,,,,,,0
17798,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_4,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,4,2172,2612,1,E,,,,,,,,,,,,,,,0
17799,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_5,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,5,2661,4022,1,E,,,,,,,,,,,,,,,0
17800,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_6,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,6,4074,4538,1,E,,,,,,,,,,,,,,,0
17801,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_7,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,7,5257,5598,1,D,,,,,,,,,,MobC-like protein [PF19514.2],,,,,0
17802,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_8,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,8,5595,6692,1,E,,,,,,,,,,,,,,,0
17803,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_102337_9,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_102337,9,6715,7338,1,E,,,,,,,,,,,,,,,0
17813,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_1,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,1,3,359,1,E,,,,,,,,,,,,,,,0
17814,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_2,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,2,362,712,1,E,,,,,,,,,,,,,,,0
17815,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_3,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,3,709,2736,1,C,K03205,type IV secretion system protein VirD4 [EC:7.4.2.8],,,,,,,,Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; TraM recognition site of TraD and TraG [PF12696.10],,,,,0
17816,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_4,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,4,2733,3206,1,E,,,,,,,,,,,,,,,0
17817,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_5,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,5,3215,6604,1,D,,,,,,,,,,TrwC relaxase [PF08751.14]; AAA domain [PF13604.9],,,,,0
17818,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_6,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,6,6868,7368,-1,D,,,,,,,,,,Protein of unknown function (DUF2726) [PF10881.11],,,,,0
17819,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_7,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,7,7511,8419,-1,E,,,,,,,,,,,,,,,0
17820,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_8,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,8,8428,8757,-1,E,,,,,,,,,,,,,,,0
17821,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_9,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,9,8766,10184,-1,C,K12058,conjugal transfer mating pair stabilization protein TraN,,,,,,,,Type-1V conjugative transfer system mating pair stabilisation [PF06986.14],,,,,0
17822,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_10,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,10,10181,11320,-1,E,,,,,,,,,,,,,,,0
17823,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_11,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,11,11317,11862,-1,E,,,,,,,,,,,,,,,0
17824,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_12,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,12,11859,13091,-1,E,,,,,,,,,,,,,,,0
17825,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_13,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,13,13224,14696,1,D,,,,,,,,,,Type II/IV secretion system protein [PF00437.23],,,,,0
17826,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_14,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,14,14678,15304,1,E,,,,,,,,,,,,,,,0
17827,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_15,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,15,15360,15722,1,E,,,,,,,,,,,,,,,0
17828,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_16,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,16,15788,16072,-1,E,,,,,,,,,,,,,,,0
17829,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_17,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,17,16130,19114,-1,C,K12056,conjugal transfer mating pair stabilization protein TraG,,,,,,,,,,,,,0
17830,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_18,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,18,19122,20600,-1,C,K12072,conjugative transfer pilus assembly protein TraH,,,,,,,,Conjugative relaxosome accessory transposon protein [PF06122.14],,,,,0
17831,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_19,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,19,20611,21582,-1,C,K12057,conjugal transfer pilus assembly protein TraF,,,,,,,,F plasmid transfer operon protein [PF13728.9],,,,,0
17832,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_20,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,20,21590,22096,-1,C,K12062,conjugal transfer pilin signal peptidase TrbI,MER1047694,S26A,MER1047694 - subfamily S26A non-peptidase homologues (Burkholderia sp. TJI49) [S26.UNA]#S26A#{peptidase unit: 65-171}~source F0G090~,False,0.606,126.0,3.595e-32,"Signal peptidase, peptidase S26 [PF10502.12]",,,,,0
17833,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_21,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,21,22093,22512,-1,E,,,,,,,,,,,,,,,0
17834,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_22,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,22,22509,25142,-1,C,K12063,conjugal transfer ATP-binding protein TraC,,,,,,,,TraG P-loop domain [PF19044.3]; AAA-like domain [PF12846.10]; TraC protein [PF11130.11]; Family of unknown function (DUF5934) [PF19357.2],,,,,0
17835,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_23,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,23,25152,25535,-1,E,,,,,,,,,,,,,,,0
17836,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_24,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,24,25546,26235,-1,C,K12064,conjugal transfer pilus assembly protein TraV,,,,,,,,Type IV conjugative transfer system lipoprotein (TraV) [PF09676.13],,,,,0
17837,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_25,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,25,26232,27458,-1,C,K12065,conjugal transfer pilus assembly protein TraB,,,,,,,,Bacterial conjugation TrbI-like protein [PF03743.17],,,,,0
17838,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_26,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,26,27458,28390,-1,C,K12066,conjugal transfer pilus assembly protein TraK,,,,,,,,TraK protein [PF06586.14],,,,,0
17839,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_27,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,27,28387,28983,-1,C,K12067,conjugal transfer pilus assembly protein TraE,,,,,,,,TraE protein [PF05309.14],,,,,0
17840,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_28,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,28,28964,29362,-1,E,,,,,,,,,,,,,,,0
17841,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_29,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,29,29355,29825,-1,E,,,,,,,,,,,,,,,0
17842,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_30,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,30,29891,30391,-1,D,,,,,,,,,,Type-F conjugative transfer system pilin assembly protein [PF09673.13],,,,,0
17843,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_31,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,31,30396,31415,-1,C,K12060,conjugal transfer pilus assembly protein TraU,,,,,,,,TraU protein [PF06834.14],,,,,0
17844,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_32,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,32,31412,32062,-1,C,K12061,conjugal transfer pilus assembly protein TraW,,,,,,,,,,,,,0
17845,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_33,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,33,32059,32550,-1,D,,,,,,,,,,Transglycosylase SLT domain [PF01464.23]; Lysozyme like domain [PF18896.3]; C-type lysozyme/alpha-lactalbumin family [PF00062.23],GH23,GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14),"3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1",GH23.hmm,0
17846,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_34,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,34,32552,32821,-1,E,,,,,,,,,,,,,,,0
17847,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_35,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,35,32818,33525,-1,C,K03981,thiol:disulfide interchange protein DsbC [EC:5.3.4.1],,,,,,,,Thioredoxin-like domain [PF13098.9]; Thioredoxin [PF13462.9],,,,,0
17848,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_36,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,36,33528,33881,-1,E,,,,,,,,,,,,,,,0
17849,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_37,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,37,33884,34216,-1,E,,,,,,,,,,,,,,,0
17850,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_38,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,38,34289,34918,1,D,,,,,,,,,,PLD-like domain [PF13091.9],,,,,0
17851,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_114407_39,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_114407,39,34929,35171,1,D,,,,,,,,,,Protein of unknown function (DUF1173) [PF06666.14],,,,,0
17914,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_1,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,1,3,1262,1,C,K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],,,,,,,,Aldehyde dehydrogenase family [PF00171.25],,,,,0
17915,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_2,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,2,1336,2373,-1,C,K07795,putative tricarboxylic transport membrane protein,,,,,,,,Tripartite tricarboxylate transporter family receptor [PF03401.17],,,,,0
17916,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_3,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,3,2750,3550,1,E,,,,,,,,,,,,,,,0
17917,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_4,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,4,3644,3916,-1,E,,,,,,,,,,,,,,,0
17918,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_5,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,5,4051,4620,1,E,,,,,,,,,,,,,,,0
17919,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_6,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,6,4875,5516,-1,C,K01029,3-oxoacid CoA-transferase subunit B [EC:2.8.3.5],,,,,,,,,,,,,0
17920,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_7,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,7,5518,6225,-1,C,K01028,3-oxoacid CoA-transferase subunit A [EC:2.8.3.5],,,,,,,,Coenzyme A transferase [PF01144.26],,,,,0
17921,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_8,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,8,6313,6873,1,D,,,,,,,,,,"Bacterial regulatory proteins, luxR family [PF00196.22]; PAS domain [PF13426.10]; PAS fold [PF00989.28]",,,,,0
17922,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_9,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,9,6883,7320,-1,C,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],,,,,,,,Carboxymuconolactone decarboxylase family [PF02627.23],,,,,0
17923,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid___k121_1180413_10,arikareeriver_2019_sw_WHONDRS-S19S_0023_B_1000.plasmid__,k121_1180413,10,7379,7975,1,D,,,,,,,,,,Carboxymuconolactone decarboxylase family [PF02627.23],,,,,0
